0,1,2
1,14,"חָדְשֵׁיכֶם וּמוֹעֲדֵיכֶם שָׂנְאָה נַפְשִׁי הָיוּ עָלַי לָטֹרַח נִלְאֵיתִי נְשֹׂא ׃"
1,15,"וּבְפָרִשְׂכֶם כַּפֵּיכֶם אַעְלִים עֵינַי מִכֶּם גַּם כִּי־תַרְבּוּ תְפִלָּה אֵינֶנִּי שֹׁמֵעַ יְדֵיכֶם דָּמִים מָלֵאוּ ׃"
1,16,"רַחֲצוּ הִזַּכּוּ הָסִירוּ רֹעַ מַעַלְלֵיכֶם מִנֶּגֶד עֵינָי חִדְלוּ הָרֵעַ ׃"
1,17,"לִמְדוּ הֵיטֵב דִּרְשׁוּ מִשְׁפָּט אַשְּׁרוּ חָמוֹץ שִׁפְטוּ יָתוֹם רִיבוּ אַלְמָנָה ׃"
1,18,"לְכוּ־נָא וְנִוָּכְחָה יֹאמַר יְהוָה אִם־יִהְיוּ חֲטָאֵיכֶם כַּשָּׁנִים כַּשֶּׁלֶג יַלְבִּינוּ אִם־יַאְדִּימוּ כַתּוֹלָע כַּצֶּמֶר יִהְיוּ ׃"
1,19,"אִם־תֹּאבוּ וּשְׁמַעְתֶּם טוּב הָאָרֶץ תֹּאכֵלוּ ׃"
1,20,"וְאִם־תְּמָאֲנוּ וּמְרִיתֶם חֶרֶב תְּאֻכְּלוּ כִּי פִּי יְהוָה דִּבֵּר ׃"
1,21,"אֵיכָה הָיְתָה לְזוֹנָה קִרְיָה נֶאֱמָנָה מְלֵאֲתִי מִשְׁפָּט צֶדֶק יָלִין בָּהּ וְעַתָּה מְרַצְּחִים ׃"
1,22,"כַּסְפֵּךְ הָיָה לְסִיגִים סָבְאֵךְ מָהוּל בַּמָּיִם ׃"
1,23,"שָׂרַיִךְ סוֹרְרִים וְחַבְרֵי גַּנָּבִים כֻּלּוֹ אֹהֵב שֹׁחַד וְרֹדֵף שַׁלְמֹנִים יָתוֹם לֹא יִשְׁפֹּטוּ וְרִיב אַלְמָנָה לֹא־יָבוֹא אֲלֵיהֶם ׃"
1,24,"לָכֵן נְאֻם הָאָדוֹן יְהוָה צְבָאוֹת אֲבִיר יִשְׂרָאֵל הוֹי אֶנָּחֵם מִצָּרַי וְאִנָּקְמָה מֵאוֹיְבָי ׃"
1,25,"וְאָשִׁיבָה יָדִי עָלַיִךְ וְאֶצְרֹף כַּבֹּר סִיגָיִךְ וְאָסִירָה כָּל־בְּדִילָיִךְ ׃"
1,26,"וְאָשִׁיבָה שֹׁפְטַיִךְ כְּבָרִאשֹׁנָה וְיֹעֲצַיִךְ כְּבַתְּחִלָּה אַחֲרֵי־כֵן יִקָּרֵא לָךְ עִיר הַצֶּדֶק קִרְיָה נֶאֱמָנָה ׃"
1,27,"צִיּוֹן בְּמִשְׁפָּט תִּפָּדֶה וְשָׁבֶיהָ בִּצְדָקָה ׃"
1,28,"וְשֶׁבֶר פֹּשְׁעִים וְחַטָּאִים יַחְדָּו וְעֹזְבֵי יְהוָה יִכְלוּ ׃"
1,29,"כִּי יֵבֹשׁוּ מֵאֵילִים אֲשֶׁר חֲמַדְתֶּם וְתַחְפְּרוּ מֵהַגַּנּוֹת אֲשֶׁר בְּחַרְתֶּם ׃"
1,30,"כִּי תִהְיוּ כְּאֵלָה נֹבֶלֶת עָלֶהָ וּכְגַנָּה אֲשֶׁר־מַיִם אֵין לָהּ ׃"
1,31,"וְהָיָה הֶחָסֹן לִנְעֹרֶת וּפֹעֲלוֹ לְנִיצוֹץ וּבָעֲרוּ שְׁנֵיהֶם יַחְדָּו וְאֵין מְכַבֶּה ׃"
2,1,"הַדָּבָר אֲשֶׁר חָזָה יְשַׁעְיָהוּ בֶּן־אָמוֹץ עַל־יְהוּדָה וִירוּשָׁלִָם ׃"
2,2,"וְהָיָה בְּאַחֲרִית הַיָּמִים נָכוֹן יִהְיֶה הַר בֵּית־יְהוָה בְּרֹאשׁ הֶהָרִים וְנִשָּׂא מִגְּבָעוֹת וְנָהֲרוּ אֵלָיו כָּל־הַגּוֹיִם ׃"
2,3,"וְהָלְכוּ עַמִּים רַבִּים וְאָמְרוּ לְכוּ וְנַעֲלֶה אֶל־הַר־יְהוָה אֶל־בֵּית אֱלֹהֵי יַעֲקֹב וְיֹרֵנוּ מִדְּרָכָיו וְנֵלְכָה בְּאֹרְחֹתָיו כִּי מִצִּיּוֹן תֵּצֵא תוֹרָה וּדְבַר־יְהוָה מִירוּשָׁלִָם ׃"
2,4,"וְשָׁפַט בֵּין הַגּוֹיִם וְהוֹכִיחַ לְעַמִּים רַבִּים וְכִתְּתוּ חַרְבוֹתָם לְאִתִּים וַחֲנִיתוֹתֵיהֶם לְמַזְמֵרוֹת לֹא־יִשָּׂא גוֹי אֶל־גּוֹי חֶרֶב וְלֹא־יִלְמְדוּ עוֹד מִלְחָמָה ׃"
2,5,"בֵּית יַעֲקֹב לְכוּ וְנֵלְכָה בְּאוֹר יְהוָה ׃"
2,6,"כִּי נָטַשְׁתָּה עַמְּךָ בֵּית יַעֲקֹב כִּי מָלְאוּ מִקֶּדֶם וְעֹנְנִים כַּפְּלִשְׁתִּים וּבְיַלְדֵי נָכְרִים יַשְׂפִּיקוּ ׃"
2,7,"וַתִּמָּלֵא אַרְצוֹ כֶּסֶף וְזָהָב וְאֵין קֵצֶה לְאֹצְרֹתָיו וַתִּמָּלֵא אַרְצוֹ סוּסִים וְאֵין קֵצֶה לְמַרְכְּבֹתָיו ׃"
2,8,"וַתִּמָּלֵא אַרְצוֹ אֱלִילִים לְמַעֲשֵׂה יָדָיו יִשְׁתַּחֲווּ לַאֲשֶׁר עָשׂוּ אֶצְבְּעֹתָיו ׃"
2,9,"וַיִּשַּׁח אָדָם וַיִּשְׁפַּל־אִישׁ וְאַל־תִּשָּׂא לָהֶם ׃"
2,10,"בּוֹא בַצּוּר וְהִטָּמֵן בֶּעָפָר מִפְּנֵי פַּחַד יְהוָה וּמֵהֲדַר גְּאֹנוֹ ׃"
2,11,"עֵינֵי גַּבְהוּת אָדָם שָׁפֵל וְשַׁח רוּם אֲנָשִׁים וְנִשְׂגַּב יְהוָה לְבַדּוֹ בַּיּוֹם הַהוּא ׃"
2,12,"כִּי יוֹם לַיהוָה צְבָאוֹת עַל כָּל־גֵּאֶה וָרָם וְעַל כָּל־נִשָּׂא וְשָׁפֵל ׃"
2,13,"וְעַל כָּל־אַרְזֵי הַלְּבָנוֹן הָרָמִים וְהַנִּשָּׂאִים וְעַל כָּל־אַלּוֹנֵי הַבָּשָׁן ׃"
2,14,"וְעַל כָּל־הֶהָרִים הָרָמִים וְעַל כָּל־הַגְּבָעוֹת הַנִּשָּׂאוֹת ׃"
2,15,"וְעַל כָּל־מִגְדָּל גָּבֹהַ וְעַל כָּל־חוֹמָה בְצוּרָה ׃"
2,16,"וְעַל כָּל־אֳנִיּוֹת תַּרְשִׁישׁ וְעַל כָּל־שְׂכִיּוֹת הַחֶמְדָּה ׃"
2,17,"וְשַׁח גַּבְהוּת הָאָדָם וְשָׁפֵל רוּם אֲנָשִׁים וְנִשְׂגַּב יְהוָה לְבַדּוֹ בַּיּוֹם הַהוּא ׃"
2,18,"וְהָאֱלִילִים כָּלִיל יַחֲלֹף ׃"
2,19,"וּבָאוּ בִּמְעָרוֹת צֻרִים וּבִמְחִלּוֹת עָפָר מִפְּנֵי פַּחַד יְהוָה וּמֵהֲדַר גְּאוֹנוֹ בְּקוּמוֹ לַעֲרֹץ הָאָרֶץ ׃"
2,20,"בַּיּוֹם הַהוּא יַשְׁלִיךְ הָאָדָם אֵת אֱלִילֵי כַסְפּוֹ וְאֵת אֱלִילֵי זְהָבוֹ אֲשֶׁר עָשׂוּ־לוֹ לְהִשְׁתַּחֲוֹת לַחְפֹּר פֵּרוֹת וְלָעֲטַלֵּפִים ׃"
2,21,"לָבוֹא בְּנִקְרוֹת הַצֻּרִים וּבִסְעִפֵי הַסְּלָעִים מִפְּנֵי פַּחַד יְהוָה וּמֵהֲדַר גְּאוֹנוֹ בְּקוּמוֹ לַעֲרֹץ הָאָרֶץ ׃"
2,22,"חִדְלוּ לָכֶם מִן־הָאָדָם אֲשֶׁר נְשָׁמָה בְּאַפּוֹ כִּי־בַמֶּה נֶחְשָׁב הוּא ׃"
3,1,"כִּי הִנֵּה הָאָדוֹן יְהוָה צְבָאוֹת מֵסִיר מִירוּשָׁלִַם וּמִיהוּדָה מַשְׁעֵן וּמַשְׁעֵנָה כֹּל מִשְׁעַן־לֶחֶם וְכֹל מִשְׁעַן־מָיִם ׃"
3,2,"כִּי הִנֵּה הָאָדוֹן יְהוָה צְבָאוֹת מֵסִיר מִירוּשָׁלִַם וּמִיהוּדָה מַשְׁעֵן וּמַשְׁעֵנָה כֹּל מִשְׁעַן־לֶחֶם וְכֹל מִשְׁעַן־מָיִם ׃"
3,3,"שַׂר־חֲמִשִּׁים וּנְשׂוּא פָנִים וְיוֹעֵץ וַחֲכַם חֲרָשִׁים וּנְבוֹן לָחַשׁ ׃"
3,4,"וְנָתַתִּי נְעָרִים שָׂרֵיהֶם וְתַעֲלוּלִים יִמְשְׁלוּ־בָם ׃"
3,5,"וְנִגַּשׂ הָעָם אִישׁ בְּאִישׁ וְאִישׁ בְּרֵעֵהוּ יִרְהֲבוּ הַנַּעַר בַּזָּקֵן וְהַנִּקְלֶה בַּנִּכְבָּד ׃"
3,6,"כִּי־יִתְפֹּשׂ אִישׁ בְּאָחִיו בֵּית אָבִיו שִׂמְלָה לְכָה קָצִין תִּהְיֶה־לָּנוּ וְהַמַּכְשֵׁלָה הַזֹּאת תַּחַת יָדֶךָ ׃"
3,7,"יִשָּׂא בַיּוֹם הַהוּא לֵאמֹר לֹא־אֶהְיֶה חֹבֵשׁ וּבְבֵיתִי אֵין לֶחֶם וְאֵין שִׂמְלָה לֹא תְשִׂימֻנִי קְצִין עָם ׃"
3,8,"כִּי כָשְׁלָה יְרוּשָׁלִַם וִיהוּדָה נָפָל כִּי־לְשׁוֹנָם וּמַעַלְלֵיהֶם אֶל־יְהוָה לַמְרוֹת עֵנֵי כְבוֹדוֹ ׃"
3,9,"הַכָּרַת פְּנֵיהֶם עָנְתָה בָּם וְחַטָּאתָם כִּסְדֹם הִגִּידוּ לֹא כִחֵדוּ אוֹי לְנַפְשָׁם כִּי־גָמְלוּ לָהֶם רָעָה ׃"
3,10,"אִמְרוּ צַדִּיק כִּי־טוֹב כִּי־פְרִי מַעַלְלֵיהֶם יֹאכֵלוּ ׃"
3,11,"אוֹי לְרָשָׁע רָע כִּי־גְמוּל יָדָיו יֵעָשֶׂה לּוֹ ׃"
3,12,"עַמִּי נֹגְשָׂיו מְעוֹלֵל וְנָשִׁים מָשְׁלוּ בוֹ עַמִּי מְאַשְּׁרֶיךָ מַתְעִים וְדֶרֶךְ אֹרְחֹתֶיךָ בִּלֵּעוּ ׃"
3,13,"נִצָּב לָרִיב יְהוָה וְעֹמֵד לָדִין עַמִּים ׃"
3,14,"יְהוָה בְּמִשְׁפָּט יָבוֹא עִם־זִקְנֵי עַמּוֹ וְשָׂרָיו וְאַתֶּם בִּעַרְתֶּם הַכֶּרֶם גְּזֵלַת הֶעָנִי בְּבָתֵּיכֶם ׃"
3,15,"מַלָּכֶם (מַה־לָּכֶם) תְּדַכְּאוּ עַמִּי וּפְנֵי עֲנִיִּים תִּטְחָנוּ נְאֻם־אֲדֹנָי יְהוִה צְבָאוֹת ׃"
3,16,"וַיֹּאמֶר יְהוָה יַעַן כִּי גָבְהוּ בְּנוֹת צִיּוֹן וַתֵּלַכְנָה נְטוּוֹת (נְטוּיוֹת) גָּרוֹן וּמְשַׂקְּרוֹת עֵינָיִם הָלוֹךְ וְטָפֹף תֵּלַכְנָה וּבְרַגְלֵיהֶם תְּעַכַּסְנָה ׃"
3,17,"וְשִׂפַּח אֲדֹנָי קָדְקֹד בְּנוֹת צִיּוֹן וַיהוָה פָּתְהֵן יְעָרֶה ׃"
3,18,"בַּיּוֹם הַהוּא יָסִיר אֲדֹנָי אֵת תִּפְאֶרֶת הָעֲכָסִים וְהַשְּׁבִיסִים וְהַשַּׂהֲרֹנִים ׃"
3,19,"הַנְּטִיפוֹת וְהַשֵּׁירוֹת וְהָרְעָלוֹת ׃"
3,20,"הַפְּאֵרִים וְהַצְּעָדוֹת וְהַקִּשֻּׁרִים וּבָתֵּי הַנֶּפֶשׁ וְהַלְּחָשִׁים ׃"
3,21,"הַטַּבָּעוֹת וְנִזְמֵי הָאָף ׃"
3,22,"הַמַּחֲלָצוֹת וְהַמַּעֲטָפוֹת וְהַמִּטְפָּחוֹת וְהָחֲרִיטִים ׃"
3,23,"וְהַגִּלְיֹנִים וְהַסְּדִינִים וְהַצְּנִיפוֹת וְהָרְדִידִים ׃"
3,24,"וְהָיָה תַחַת בֹּשֶׂם מַק יִהְיֶה וְתַחַת חֲגוֹרָה נִקְפָּה וְתַחַת מַעֲשֶׂה מִקְשֶׁה קָרְחָה וְתַחַת פְּתִיגִיל מַחֲגֹרֶת שָׂק כִּי־תַחַת יֹפִי ׃"
3,25,"מְתַיִךְ בַּחֶרֶב יִפֹּלוּ וּגְבוּרָתֵךְ בַּמִּלְחָמָה ׃"
3,26,"וְאָנוּ וְאָבְלוּ פְּתָחֶיהָ וְנִקָּתָה לָאָרֶץ תֵּשֵׁב ׃"
4,1,"וְהֶחֱזִיקוּ שֶׁבַע נָשִׁים בְּאִישׁ אֶחָד בַּיּוֹם הַהוּא לֵאמֹר לַחְמֵנוּ נֹאכֵל וְשִׂמְלָתֵנוּ נִלְבָּשׁ רַק יִקָּרֵא שִׁמְךָ עָלֵינוּ אֱסֹף חֶרְפָּתֵנוּ ׃"
4,2,"בַּיּוֹם הַהוּא יִהְיֶה צֶמַח יְהוָה לִצְבִי וּלְכָבוֹד וּפְרִי הָאָרֶץ לְגָאוֹן וּלְתִפְאֶרֶת לִפְלֵיטַת יִשְׂרָאֵל ׃"
4,3,"וְהָיָה הַנִּשְׁאָר בְּצִיּוֹן וְהַנּוֹתָר בִּירוּשָׁלִַם קָדוֹשׁ יֵאָמֶר לוֹ כָּל־הַכָּתוּב לַחַיִּים בִּירוּשָׁלִָם ׃"
4,4,"אִם רָחַץ אֲדֹנָי אֵת צֹאַת בְּנוֹת־צִיּוֹן וְאֶת־דְּמֵי יְרוּשָׁלִַם יָדִיחַ מִקִּרְבָּהּ בְּרוּחַ מִשְׁפָּט וּבְרוּחַ בָּעֵר ׃"
4,5,"וּבָרָא יְהוָה עַל כָּל־מְכוֹן הַר־צִיּוֹן וְעַל־מִקְרָאֶהָ עָנָן יוֹמָם וְעָשָׁן וְנֹגַהּ אֵשׁ לֶהָבָה לָיְלָה כִּי עַל־כָּל־כָּבוֹד חֻפָּה ׃"
4,6,"וְסֻכָּה תִּהְיֶה לְצֵל־יוֹמָם מֵחֹרֶב וּלְמַחְסֶה וּלְמִסְתּוֹר מִזֶּרֶם וּמִמָּטָר ׃"
5,1,"אָשִׁירָה נָּא לִידִידִי שִׁירַת דּוֹדִי לְכַרְמוֹ כֶּרֶם הָיָה לִידִידִי בְּקֶרֶן בֶּן־שָׁמֶן ׃"
5,2,"וַיְעַזְּקֵהוּ וַיְסַקְּלֵהוּ וַיִּטָּעֵהוּ שֹׂרֵק וַיִּבֶן מִגְדָּל בְּתוֹכוֹ וְגַם־יֶקֶב חָצֵב בּוֹ וַיְקַו לַעֲשׂוֹת עֲנָבִים וַיַּעַשׂ בְּאֻשִׁים ׃"
5,3,"וְעַתָּה יוֹשֵׁב יְרוּשָׁלִַם וְאִישׁ יְהוּדָה שִׁפְטוּ־נָא בֵּינִי וּבֵין כַּרְמִי ׃"
5,4,"מַה־לַּעֲשׂוֹת עוֹד לְכַרְמִי וְלֹא עָשִׂיתִי בּוֹ מַדּוּעַ קִוֵּיתִי לַעֲשׂוֹת עֲנָבִים וַיַּעַשׂ בְּאֻשִׁים ׃"
5,5,"וְעַתָּה אוֹדִיעָה־נָּא אֶתְכֶם אֵת אֲשֶׁר־אֲנִי עֹשֶׂה לְכַרְמִי הָסֵר מְשׂוּכָּתוֹ וְהָיָה לְבָעֵר פָּרֹץ גְּדֵרוֹ וְהָיָה לְמִרְמָס ׃"
5,6,"וַאֲשִׁיתֵהוּ בָתָה לֹא יִזָּמֵר וְלֹא יֵעָדֵר וְעָלָה שָׁמִיר וָשָׁיִת וְעַל הֶעָבִים אֲצַוֶּה מֵהַמְטִיר עָלָיו מָטָר ׃"
5,7,"כִּי כֶרֶם יְהוָה צְבָאוֹת בֵּית יִשְׂרָאֵל וְאִישׁ יְהוּדָה נְטַע שַׁעֲשׁוּעָיו וַיְקַו לְמִשְׁפָּט וְהִנֵּה מִשְׂפָּח לִצְדָקָה וְהִנֵּה צְעָקָה ׃"
5,8,"הוֹי מַגִּיעֵי בַיִת בְּבַיִת שָׂדֶה בְשָׂדֶה יַקְרִיבוּ עַד אֶפֶס מָקוֹם וְהוּשַׁבְתֶּם לְבַדְּכֶם בְּקֶרֶב הָאָרֶץ ׃"
5,9,"בְּאָזְנָי יְהוָה צְבָאוֹת אִם־לֹא בָּתִּים רַבִּים לְשַׁמָּה יִהְיוּ גְּדֹלִים וְטוֹבִים מֵאֵין יוֹשֵׁב ׃"
5,10,"כִּי עֲשֶׂרֶת צִמְדֵּי־כֶרֶם יַעֲשׂוּ בַּת אֶחָת וְזֶרַע חֹמֶר יַעֲשֶׂה אֵיפָה ׃"
5,11,"הוֹי מַשְׁכִּימֵי בַבֹּקֶר שֵׁכָר יִרְדֹּפוּ מְאַחֲרֵי בַנֶּשֶׁף יַיִן יַדְלִיקֵם ׃"
5,12,"וְהָיָה כִנּוֹר וָנֶבֶל תֹּף וְחָלִיל וָיַיִן מִשְׁתֵּיהֶם וְאֵת פֹּעַל יְהוָה לֹא יַבִּיטוּ וּמַעֲשֵׂה יָדָיו לֹא רָאוּ ׃"
5,13,"לָכֵן גָּלָה עַמִּי מִבְּלִי־דָעַת וּכְבוֹדוֹ מְתֵי רָעָב וַהֲמוֹנוֹ צִחֵה צָמָא ׃"
5,14,"לָכֵן הִרְחִיבָה שְּׁאוֹל נַפְשָׁהּ וּפָעֲרָה פִיהָ לִבְלִי־חֹק וְיָרַד הֲדָרָהּ וַהֲמוֹנָהּ וּשְׁאוֹנָהּ וְעָלֵז בָּהּ ׃"
5,15,"וַיִּשַּׁח אָדָם וַיִּשְׁפַּל־אִישׁ וְעֵינֵי גְבֹהִים תִּשְׁפַּלְנָה ׃"
5,16,"וַיִּגְבַּה יְהוָה צְבָאוֹת בַּמִּשְׁפָּט וְהָאֵל הַקָּדוֹשׁ נִקְדָּשׁ בִּצְדָקָה ׃"
5,17,"וְרָעוּ כְבָשִׂים כְּדָבְרָם וְחָרְבוֹת מֵחִים גָּרִים יֹאכֵלוּ ׃"
5,18,"הוֹי מֹשְׁכֵי הֶעָוֹן בְּחַבְלֵי הַשָּׁוְא וְכַעֲבוֹת הָעֲגָלָה חַטָּאָה ׃"
5,19,"הָאֹמְרִים יְמַהֵר יָחִישָׁה מַעֲשֵׂהוּ לְמַעַן נִרְאֶה וְתִקְרַב וְתָבוֹאָה עֲצַת קְדוֹשׁ יִשְׂרָאֵל וְנֵדָעָה ׃"
5,20,"הָאֹמְרִים לָרַע טוֹב וְלַטּוֹב רָע שָׂמִים חֹשֶׁךְ לְאוֹר וְאוֹר לְחֹשֶׁךְ שָׂמִים מַר לְמָתוֹק וּמָתוֹק לְמָר ׃"
5,21,"הוֹי חֲכָמִים בְּעֵינֵיהֶם וְנֶגֶד פְּנֵיהֶם נְבֹנִים ׃"
5,22,"הוֹי גִּבּוֹרִים לִשְׁתּוֹת יָיִן וְאַנְשֵׁי־חַיִל לִמְסֹךְ שֵׁכָר ׃"
5,23,"לָכֵן כֶּאֱכֹל קַשׁ לְשׁוֹן אֵשׁ וַחֲשַׁשׁ לֶהָבָה יִרְפֶּה שָׁרְשָׁם כַּמָּק יִהְיֶה וּפִרְחָם כָּאָבָק יַעֲלֶה כִּי מָאֲסוּ אֵת תּוֹרַת יְהוָה צְבָאוֹת וְאֵת אִמְרַת קְדוֹשׁ־יִשְׂרָאֵל נִאֵצוּ ׃"
5,24,"עַל־כֵּן חָרָה אַף־יְהוָה בְּעַמּוֹ וַיֵּט יָדוֹ עָלָיו וַיַּכֵּהוּ וַיִּרְגְּזוּ הֶהָרִים וַתְּהִי נִבְלָתָם כַּסּוּחָה בְּקֶרֶב חוּצוֹת בְּכָל־זֹאת לֹא־שָׁב אַפּוֹ וְעוֹד יָדוֹ נְטוּיָה ׃"
5,25,"עַל־כֵּן חָרָה אַף־יְהוָה בְּעַמּוֹ וַיֵּט יָדוֹ עָלָיו וַיַּכֵּהוּ וַיִּרְגְּזוּ הֶהָרִים וַתְּהִי נִבְלָתָם כַּסּוּחָה בְּקֶרֶב חוּצוֹת בְּכָל־זֹאת לֹא־שָׁב אַפּוֹ וְעוֹד יָדוֹ נְטוּיָה ׃"
5,26,"וְנָשָׂא־נֵס לַגּוֹיִם מֵרָחוֹק וְשָׁרַק לוֹ מִקְצֵה הָאָרֶץ וְהִנֵּה מְהֵרָה קַל יָבוֹא ׃"
5,27,"אֵין־עָיֵף וְאֵין־כּוֹשֵׁל בּוֹ לֹא יָנוּם וְלֹא יִישָׁן וְלֹא נִפְתַּח אֵזוֹר חֲלָצָיו וְלֹא נִתַּק שְׂרוֹךְ נְעָלָיו ׃"
5,28,"אֲשֶׁר חִצָּיו שְׁנוּנִים וְכָל־קַשְּׁתֹתָיו דְּרֻכוֹת פַּרְסוֹת סוּסָיו כַּצַּר נֶחְשָׁבוּ וְגַלְגִּלָּיו כַּסּוּפָה ׃"
5,29,"שְׁאָגָה לוֹ כַּלָּבִיא וִשְׁאַג (יִשְׁאַג) כַּכְּפִירִים וְיִנְהֹם וְיֹאחֵז טֶרֶף וְיַפְלִיט וְאֵין מַצִּיל ׃"
5,30,"וְיִנְהֹם עָלָיו בַּיּוֹם הַהוּא כְּנַהֲמַת־יָם וְנִבַּט לָאָרֶץ וְהִנֵּה־חֹשֶׁךְ צַר וָאוֹר חָשַׁךְ בַּעֲרִיפֶיהָ ׃"
6,1,"בִּשְׁנַת־מוֹת הַמֶּלֶךְ עֻזִּיָּהוּ וָאֶרְאֶה אֶת־אֲדֹנָי יֹשֵׁב עַל־כִּסֵּא רָם וְנִשָּׂא וְשׁוּלָיו מְלֵאִים אֶת־הַהֵיכָל ׃"
6,2,"שְׂרָפִים עֹמְדִים מִמַּעַל לוֹ שֵׁשׁ כְּנָפַיִם שֵׁשׁ כְּנָפַיִם לְאֶחָד בִּשְׁתַּיִם יְכַסֶּה פָנָיו וּבִשְׁתַּיִם יְכַסֶּה רַגְלָיו וּבִשְׁתַּיִם יְעוֹפֵף ׃"
6,3,"וְקָרָא זֶה אֶל־זֶה וְאָמַר קָדוֹשׁ קָדוֹשׁ קָדוֹשׁ יְהוָה צְבָאוֹת מְלֹא כָל־הָאָרֶץ כְּבוֹדוֹ ׃"
6,4,"וַיָּנֻעוּ אַמּוֹת הַסִּפִּים מִקּוֹל הַקּוֹרֵא וְהַבַּיִת יִמָּלֵא עָשָׁן ׃"
6,5,"וָאֹמַר אוֹי־לִי כִי־נִדְמֵיתִי כִּי אִישׁ טְמֵא־שְׂפָתַיִם אָנֹכִי וּבְתוֹךְ עַם־טְמֵא שְׂפָתַיִם אָנֹכִי יוֹשֵׁב כִּי אֶת־הַמֶּלֶךְ יְהוָה צְבָאוֹת רָאוּ עֵינָי ׃"
6,6,"וַיָּעָף אֵלַי אֶחָד מִן־הַשְּׂרָפִים וּבְיָדוֹ רִצְפָּה בְּמֶלְקַחַיִם לָקַח מֵעַל הַמִּזְבֵּחַ ׃"
6,7,"וַיַּגַּע עַל־פִּי וַיֹּאמֶר הִנֵּה נָגַע זֶה עַל־שְׂפָתֶיךָ וְסָר עֲוֹנֶךָ וְחַטָּאתְךָ תְּכֻפָּר ׃"
6,8,"וָאֶשְׁמַע אֶת־קוֹל אֲדֹנָי אֹמֵר אֶת־מִי אֶשְׁלַח וּמִי יֵלֶךְ־לָנוּ וָאֹמַר הִנְנִי שְׁלָחֵנִי ׃"
6,9,"וַיֹּאמֶר לֵךְ וְאָמַרְתָּ לָעָם הַזֶּה שִׁמְעוּ שָׁמוֹעַ וְאַל־תָּבִינוּ וּרְאוּ רָאוֹ וְאַל־תֵּדָעוּ ׃"
6,10,"הַשְׁמֵן לֵב־הָעָם הַזֶּה וְאָזְנָיו הַכְבֵּד וְעֵינָיו הָשַׁע פֶּן־יִרְאֶה בְעֵינָיו וּבְאָזְנָיו יִשְׁמָע וּלְבָבוֹ יָבִין וָשָׁב וְרָפָא לוֹ ׃"
